event-id,visible,timestamp,location-long,location-lat,external-temperature,gps:hdop,gps:satellite-count,height-above-ellipsoid,tag-tech-spec,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
32050676813,true,2022-09-05 09:45:03.000,9.87709,46.82686,33.5,1.2,8,2026.89,"8:8","gps","Nucifraga caryocatactes","5999","K121752","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050679352,true,2022-09-05 10:00:03.000,9.90725,46.79943,36.0,2.2,5,2111.65,"5:6","gps","Nucifraga caryocatactes","5999","K121752","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050676737,true,2022-09-05 10:15:07.000,9.87548,46.81492,36.0,2.1,7,2175.65,"7:7","gps","Nucifraga caryocatactes","5999","K121752","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050677003,true,2022-09-05 10:30:09.000,9.87971,46.83504,36.0,3.9,6,1836.52,"6:7","gps","Nucifraga caryocatactes","5999","K121752","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050676557,true,2022-09-05 10:45:02.000,9.87261,46.81953,32.0,2.2,6,2094.75,"6:7","gps","Nucifraga caryocatactes","5999","K121752","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050678117,true,2022-09-05 11:00:06.000,9.90275,46.8037,35.0,1.3,7,2119.13,"7:8","gps","Nucifraga caryocatactes","5999","K121752","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050677051,true,2022-09-05 11:15:09.000,9.88024,46.83451,35.0,1.6,7,1852.88,"7:7","gps","Nucifraga caryocatactes","5999","K121752","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050677149,true,2022-09-05 11:30:03.000,9.88183,46.81236,33.0,1.1,8,2130.96,"8:8","gps","Nucifraga caryocatactes","5999","K121752","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050678595,true,2022-09-05 11:45:03.000,9.90474,46.80097,35.5,1.4,8,2097.6,"8:8","gps","Nucifraga caryocatactes","5999","K121752","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050676978,true,2022-09-05 12:00:08.000,9.87946,46.83515,35.0,1.2,7,1860.14,"7:7","gps","Nucifraga caryocatactes","5999","K121752","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
